Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p,Block Number,Point ID
0.22,-0.0297937,-0.5,0.547072,85.8172,1.42941,0,85.8291,485.371,0.0431483,9805.99,0,2,49
0.22,-0.0238924,-0.5,0.546782,104.4,2.09002,-7.4664e-26,104.421,235.018,0.0268181,7593.25,0,2,50
0.22,-0.0179844,-0.5,0.546556,115.706,1.41603,2.36379e-23,115.715,54.4662,0.00922402,3830.49,0,2,51
0.22,-0.0120693,-0.5,0.546393,121.971,-0.226003,-2.36555e-23,121.971,8.82853,0.00175033,3842.24,0,2,52
0.22,-0.109026,-0.5,0.557034,48.433,-21.4014,1.60479e-22,52.9507,28.2185,0.00167437,17042.8,0,2,53
0.22,-0.106145,-0.5,0.556477,34.2582,-12.7153,-2.97585e-21,36.5418,23.5898,0.000790377,24262.2,0,2,54
0.22,-0.104556,-0.5,0.556176,18.9795,-6.35389,-1.8168e-21,20.0148,20.1081,0.000281757,27684,0,2,55
0.22,-0.0949205,-0.5,0.554446,-11.263,2.40634,-1.31914e-22,11.5172,89.3595,0.0107519,10047.9,0,2,56
0.22,-0.0964593,-0.5,0.554711,-8.18087,1.86242,1.47802e-22,8.39019,50.0528,0.00298297,27505.6,0,2,57
0.22,-0.0918831,-0.5,0.553934,-12.9602,2.72234,-2.21216e-23,13.243,125.421,0.0232961,5677.54,0,2,58
0.22,-0.0091097,-0.5,0.546336,120.302,-0.999723,-4.27603e-23,120.306,38.6968,0.00287007,11064.7,0,2,59
0.22,-0.00615166,-0.5,0.546295,107.118,-0.734199,-3.12328e-24,107.12,84.0368,0.00324214,24889.9,0,2,60
0.22,-0.00467947,-0.5,0.54628,87.6073,-0.294497,-7.73099e-24,87.6078,86.0168,0.00174673,44005.4,0,2,61
0.22,-0.0976469,-0.5,0.554919,-6.37585,1.52007,5.15189e-22,6.55455,29.3842,0.00070697,41563.5,0,2,62
0.22,-0.0033,-0.5,0.54627,77.201,0.0561264,0,77.201,69.5849,0.000705825,54601.1,0,2,63
0.22,0.0179844,0.5,0.546556,121.156,1.34016,-1.1537e-26,121.163,21.1706,0.00426355,2643.87,0,2,64
0.22,0.0120693,0.5,0.546393,123.531,1.26493,-1.1537e-26,123.537,8.59852,0.00199297,4246.97,0,2,65
0.22,0.0238924,0.5,0.546782,110.108,1.5043,0,110.118,150.53,0.0156388,6479.72,0,2,66
0.22,0.0297937,0.5,0.547072,90.4513,1.74562,0,90.4682,405.635,0.0331011,9972.71,0,2,67
0.22,0.0356908,0.5,0.547425,66.2604,1.57353,1.95427e-25,66.2791,612.425,0.0485029,10245.3,0,2,68
0.22,0.0415857,0.5,0.547841,44.0372,1.07265,1.95427e-25,44.0502,677.229,0.0621785,9105.23,0,2,69
0.22,0.0474795,0.5,0.54832,26.1466,0.517555,5.50942e-22,26.1517,642.349,0.0752607,7525.36,0,2,70
0.22,0.0533732,0.5,0.548861,12.7909,-0.0485262,-5.60474e-23,12.791,561.572,0.088867,6042.99,0,2,71
0.22,0.0592718,0.5,0.549466,3.17351,-0.588955,-9.89355e-22,3.2277,473.961,0.0988759,4785.99,0,2,72
0.22,0.0651744,0.5,0.550134,-3.76087,-1.09348,-6.8689e-23,3.91661,392.065,0.101192,3872.74,0,2,73
