Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p,Block Number,Point ID
0.22,0.0710811,0.5,0.550865,-8.73232,-1.56815,4.08756e-23,8.87201,319.442,0.09679,3291.5,0,2,74
0.22,0.0769949,0.5,0.55166,-12.1118,-2.00206,7.85698e-24,12.2762,254.827,0.0850877,2987.06,0,2,75
0.22,0.0829231,0.5,0.552518,-14.0689,-2.34272,3.24025e-22,14.2626,196.593,0.0658842,3001.17,0,2,76
0.22,0.0888823,0.5,0.553444,-14.5605,-2.51948,4.30697e-23,14.7768,148.009,0.0426218,3615.73,0,2,77
0.22,0.117913,0.5,0.558841,64.3204,25.605,-2.69193e-22,69.2296,46.1648,0.00486665,9549.13,0,2,78
0.22,0.111958,0.5,0.557615,68.2598,27.3833,2.68681e-21,73.5475,34.5261,0.00263749,14297,0,2,79
0.22,0.1239,0.5,0.560135,60.9275,28.197,-1.6505e-21,67.1359,102.323,0.00958333,10345.5,0,2,80
0.22,0.129906,0.5,0.561494,49.3423,23.9,-2.903e-23,54.8258,162.82,0.0134237,12092.8,0,2,81
0.22,0.135924,0.5,0.562917,29.637,16.0183,-9.02333e-23,33.6888,158.64,0.013167,11989.3,0,2,82
0.22,0.141952,0.5,0.564403,10.7155,9.9798,4.1539e-21,14.643,105.879,0.00879018,12637.5,0,2,83
0.219998,0.147999,0.5,0.565953,3.60786,9.20241,8.4302e-21,9.88438,75.2645,0.00532314,14139.1,0,2,84
0.22,0.00615166,0.5,0.546295,104.634,0.204145,-3.57348e-25,104.634,74.8637,0.00331614,21743.6,0,2,85
0.22,0.00467947,0.5,0.54628,88.5401,-0.0789701,-2.38192e-25,88.5402,78.3002,0.00184359,41294.6,0,2,86
0.22,0.0091097,0.5,0.546336,117.285,0.788851,-2.75234e-25,117.287,38.7728,0.00292978,11332.7,0,2,87
0.22,0.0918831,0.5,0.553934,-13.7566,-2.46058,-2.97462e-25,13.975,112.18,0.0236554,5005.71,0,2,88
0.22,0.0949205,0.5,0.554446,-11.5458,-2.14096,1.71782e-22,11.7426,80.8178,0.0109107,9030.22,0,2,89
0.22,0.0964593,0.5,0.554711,-7.86988,-1.58533,-2.69998e-22,8.02796,45.6819,0.00298269,25990.9,0,2,90
0.22,0.106145,0.5,0.556477,29.7835,9.68555,-8.81968e-22,31.3188,44.5941,0.00100228,32648.5,0,2,91
0.22,0.104556,0.5,0.556176,5.89519,3.89599,0,7.06626,23.8536,0.000681117,29907.2,0,2,92
0.22,0.109026,0.5,0.557034,63.0859,24.4525,4.23535e-22,67.6591,50.9238,0.00163055,27116.8,0,2,93
0.22,0.0033,0.5,0.54627,79.975,-0.162958,-3.12156e-25,79.9752,70.5042,0.000868887,54965.4,0,2,94
0.22,0.0976469,0.5,0.554919,-5.73552,-1.25309,-8.83561e-22,5.87081,26.9554,0.000677236,39802.1,0,2,95
0.22,0.0179844,-0.5,0.546556,121.156,1.34016,-1.1537e-26,121.163,21.1706,0.00426355,2643.87,0,2,96
0.22,0.0120693,-0.5,0.546393,123.531,1.26493,-1.1537e-26,123.537,8.59852,0.00199297,4246.97,0,2,97
0.22,0.0238924,-0.5,0.546782,110.108,1.5043,0,110.118,150.53,0.0156388,6479.72,0,2,98
0.22,0.0297937,-0.5,0.547072,90.4513,1.74562,0,90.4682,405.635,0.0331011,9972.71,0,2,99
0.22,0.0356908,-0.5,0.547425,66.2604,1.57353,1.95427e-25,66.2791,612.425,0.0485029,10245.3,0,2,100
0.22,0.0415857,-0.5,0.547841,44.0372,1.07265,1.95427e-25,44.0502,677.229,0.0621785,9105.23,0,2,101
0.22,0.0474795,-0.5,0.54832,26.1466,0.517555,5.50942e-22,26.1517,642.349,0.0752607,7525.36,0,2,102
0.22,0.0533732,-0.5,0.548861,12.7909,-0.0485262,-5.60474e-23,12.791,561.572,0.088867,6042.99,0,2,103
0.22,0.0592718,-0.5,0.549466,3.17351,-0.588955,-9.89355e-22,3.2277,473.961,0.0988759,4785.99,0,2,104
0.22,0.0651744,-0.5,0.550134,-3.76087,-1.09348,-6.8689e-23,3.91661,392.065,0.101192,3872.74,0,2,105
0.22,0.0710811,-0.5,0.550865,-8.73232,-1.56815,4.08756e-23,8.87201,319.442,0.09679,3291.5,0,2,106
0.22,0.0769949,-0.5,0.55166,-12.1118,-2.00206,7.85698e-24,12.2762,254.827,0.0850877,2987.06,0,2,107
0.22,0.0829231,-0.5,0.552518,-14.0689,-2.34272,3.24025e-22,14.2626,196.593,0.0658842,3001.17,0,2,108
0.22,0.0888823,-0.5,0.553444,-14.5605,-2.51948,4.30697e-23,14.7768,148.009,0.0426218,3615.73,0,2,109
0.22,0.117913,-0.5,0.558841,64.3204,25.605,-2.69193e-22,69.2296,46.1648,0.00486665,9549.13,0,2,110
0.22,0.111958,-0.5,0.557615,68.2598,27.3833,2.68681e-21,73.5475,34.5261,0.00263749,14297,0,2,111
0.22,0.1239,-0.5,0.560135,60.9275,28.197,-1.6505e-21,67.1359,102.323,0.00958333,10345.5,0,2,112
0.22,0.129906,-0.5,0.561494,49.3423,23.9,-2.903e-23,54.8258,162.82,0.0134237,12092.8,0,2,113
0.22,0.135924,-0.5,0.562917,29.637,16.0183,-9.02333e-23,33.6888,158.64,0.013167,11989.3,0,2,114
0.22,0.141952,-0.5,0.564403,10.7155,9.9798,4.1539e-21,14.643,105.879,0.00879018,12637.5,0,2,115
0.219998,0.147999,-0.5,0.565953,3.60786,9.20241,8.4302e-21,9.88438,75.2645,0.00532314,14139.1,0,2,116
0.22,0.00615166,-0.5,0.546295,104.634,0.204145,-3.57348e-25,104.634,74.8637,0.00331614,21743.6,0,2,117
0.22,0.00467947,-0.5,0.54628,88.5401,-0.0789701,-2.38192e-25,88.5402,78.3002,0.00184359,41294.6,0,2,118
0.22,0.0091097,-0.5,0.546336,117.285,0.788851,-2.75234e-25,117.287,38.7728,0.00292978,11332.7,0,2,119
0.22,0.0918831,-0.5,0.553934,-13.7566,-2.46058,-2.97462e-25,13.975,112.18,0.0236554,5005.71,0,2,120
0.22,0.0949205,-0.5,0.554446,-11.5458,-2.14096,1.71782e-22,11.7426,80.8178,0.0109107,9030.22,0,2,121
0.22,0.0964593,-0.5,0.554711,-7.86988,-1.58533,-2.69998e-22,8.02796,45.6819,0.00298269,25990.9,0,2,122
0.22,0.106145,-0.5,0.556477,29.7835,9.68555,-8.81968e-22,31.3188,44.5941,0.00100228,32648.5,0,2,123
0.22,0.104556,-0.5,0.556176,5.89519,3.89599,0,7.06626,23.8536,0.000681117,29907.2,0,2,124
0.22,0.109026,-0.5,0.557034,63.0859,24.4525,4.23535e-22,67.6591,50.9238,0.00163055,27116.8,0,2,125
0.22,0.0033,-0.5,0.54627,79.975,-0.162958,-3.12156e-25,79.9752,70.5042,0.000868887,54965.4,0,2,126
0.22,0.0976469,-0.5,0.554919,-5.73552,-1.25309,-8.83561e-22,5.87081,26.9554,0.000677236,39802.1,0,2,127
