Points_0,Points_1,Points_2,Points_Magnitude,U (Mach)_0,U (Mach)_1,U (Mach)_2,U (Mach)_Magnitude,U_0,U_1,U_2,U_Magnitude,k,nut,omega,p,Block Number,Point ID
0.22,0.107862,0.5,0.556807,-0.0176023,-0.00447343,1.28327e-24,0.0181618,-5.98478,-1.52097,4.36311e-22,6.17503,13.175,0.000461457,28550.8,0,2,34
0.22,0.0415718,-0.5,0.54784,0.142594,0.00480568,4.28802e-28,0.142675,48.482,1.63393,1.45793e-25,48.5095,438.916,0.0491999,7449.27,0,2,35
0.22,0.0474631,-0.5,0.548318,0.120231,0.00432141,3.40395e-29,0.120309,40.8785,1.46928,1.15734e-26,40.9049,447.729,0.0542776,7008.21,0,2,36
0.22,0.0533549,-0.5,0.548859,0.0792563,0.00302987,1.71701e-28,0.0793142,26.9471,1.03016,5.83783e-26,26.9668,439.935,0.0630109,6073.91,0,2,37
0.22,0.0592497,-0.5,0.549464,0.0459471,0.00128833,3.52062e-28,0.0459652,15.622,0.438031,1.19701e-25,15.6282,394.845,0.0704263,5054.53,0,2,38
0.22,0.0651509,-0.5,0.550131,0.0203519,-0.000523656,-4.14846e-28,0.0203586,6.91964,-0.178043,-1.41048e-25,6.92193,335.702,0.0789786,4056.05,0,2,39
0.22,0.071058,-0.5,0.550862,0.00154815,-0.00216209,7.21525e-30,0.00265921,0.526371,-0.73511,2.45318e-27,0.904131,276.612,0.0851359,3226.43,0,2,40
0.22,0.0769703,-0.5,0.551656,-0.0121768,-0.00361718,-9.75972e-25,0.0127027,-4.1401,-1.22984,-3.31831e-22,4.3189,223.004,0.0847309,2626.85,0,2,41
0.22,0.0828878,-0.5,0.552513,-0.0221846,-0.00492922,-2.32101e-26,0.0227256,-7.54275,-1.67593,-7.89144e-24,7.7267,175.935,0.0781396,2242.8,0,2,42
0.22,0.0888109,-0.5,0.553432,-0.0291614,-0.00604861,9.53184e-25,0.0297821,-9.91488,-2.05653,3.24083e-22,10.1259,135.031,0.0654768,2056.99,0,2,43
0.22,0.0947416,-0.5,0.554415,-0.033315,-0.00691247,4.37113e-27,0.0340246,-11.3271,-2.35024,1.48619e-24,11.5684,99.3241,0.047373,2119.78,0,2,44
0.22,0.100687,-0.5,0.555462,-0.0340235,-0.00715763,-3.08817e-27,0.0347683,-11.568,-2.43359,-1.04998e-24,11.8212,69.9019,0.0272848,2750.66,0,2,45
0.22,0.103678,-0.5,0.556012,-0.0316437,-0.00691852,1.69083e-25,0.0323912,-10.7588,-2.3523,5.74882e-23,11.013,49.5243,0.0127673,4230.1,0,2,46
0.22,0.106714,-0.5,0.556586,-0.0216722,-0.00535499,1.16956e-25,0.022324,-7.36856,-1.8207,3.97649e-23,7.59017,21.6517,0.0019946,18545.6,0,2,47
0.22,0.105185,-0.5,0.556295,-0.0278317,-0.00651649,-3.48136e-25,0.0285844,-9.46277,-2.21561,-1.18366e-22,9.71869,36.0021,0.00580166,6862.94,0,2,48
0.22,0.107862,-0.5,0.556807,-0.0176023,-0.00447343,1.28327e-24,0.0181618,-5.98478,-1.52097,4.36311e-22,6.17503,13.175,0.000461457,28550.8,0,2,49
